yourlist:M2021051372FEB3358BE035486EE75ADE9E91772506A23FI	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
eco:b0839	P08506	DACC_ECOLI	reviewed	D-alanyl-D-alanine carboxypeptidase DacC (DD-carboxypeptidase) (DD-peptidase) (EC 3.4.16.4) (Penicillin-binding protein 6) (PBP-6)	dacC b0839 JW0823	Escherichia coli (strain K12)	400
eco:b0865	P75818	YBJP_ECOLI	reviewed	Uncharacterized lipoprotein YbjP	ybjP b0865 JW0849	Escherichia coli (strain K12)	171
eco:b0878	P75830	MACA_ECOLI	reviewed	Macrolide export protein MacA	macA ybjY b0878 JW0862	Escherichia coli (strain K12)	371
eco:b0879	P75831	MACB_ECOLI	reviewed	Macrolide export ATP-binding/permease protein MacB (EC 7.6.2.-)	macB ybjZ b0879 JW0863	Escherichia coli (strain K12)	648
eco:b0881	P0A8Q6	CLPS_ECOLI	reviewed	ATP-dependent Clp protease adapter protein ClpS	clpS yljA b0881 JW0865	Escherichia coli (strain K12)	106
eco:b0888	P0A9P4	TRXB_ECOLI	reviewed	Thioredoxin reductase (TRXR) (EC 1.8.1.9)	trxB b0888 JW0871	Escherichia coli (strain K12)	321
eco:b0890	P46889	FTSK_ECOLI	reviewed	DNA translocase FtsK	ftsK b0890 JW0873	Escherichia coli (strain K12)	1329
eco:b0891	P61316	LOLA_ECOLI	reviewed	Outer-membrane lipoprotein carrier protein (P20)	lolA lplA yzzV b0891 JW0874	Escherichia coli (strain K12)	203
eco:b0894	P18775	DMSA_ECOLI	reviewed	Dimethyl sulfoxide reductase DmsA (DMSO reductase) (DMSOR) (Me2SO reductase) (EC 1.8.5.3)	dmsA b0894 JW5118	Escherichia coli (strain K12)	814
eco:b0903	P09373	PFLB_ECOLI	reviewed	Formate acetyltransferase 1 (EC 2.3.1.54) (Pyruvate formate-lyase 1)	pflB pfl b0903 JW0886	Escherichia coli (strain K12)	760
eco:b0911	P0AG67	RS1_ECOLI	reviewed	30S ribosomal protein S1 (Bacteriophage Q beta RNA-directed RNA polymerase subunit I) (Small ribosomal subunit protein bS1)	rpsA ssyF b0911 JW0894	Escherichia coli (strain K12)	557
eco:b0922	P60293	MUKF_ECOLI	reviewed	Chromosome partition protein MukF (Protein KicB)	mukF kicB b0922 JW0905	Escherichia coli (strain K12)	440
eco:b0923	P22524	MUKE_ECOLI	reviewed	Chromosome partition protein MukE (Protein KicA)	mukE kicA ycbA b0923 JW0906	Escherichia coli (strain K12)	234
eco:b0924	P22523	MUKB_ECOLI	reviewed	Chromosome partition protein MukB (Structural maintenance of chromosome-related protein)	mukB b0924 JW0907	Escherichia coli (strain K12)	1486
eco:b0929	P02931	OMPF_ECOLI	reviewed	Outer membrane porin F (Outer membrane protein 1A) (Outer membrane protein B) (Outer membrane protein F) (Outer membrane protein IA) (Porin OmpF)	ompF cmlB coa cry tolF b0929 JW0912	Escherichia coli (strain K12)	362
eco:b0945	P0A7E1	PYRD_ECOLI	reviewed	Dihydroorotate dehydrogenase (quinone) (EC 1.3.5.2) (DHOdehase) (DHOD) (DHODase) (Dihydroorotate oxidase)	pyrD b0945 JW0928	Escherichia coli (strain K12)	336
eco:b0954	P0A6Q3	FABA_ECOLI	reviewed	3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase (EC 4.2.1.59) (3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabA) (Beta-hydroxydecanoyl thioester dehydrase) (Trans-2-decenoyl-[acyl-carrier-protein] isomerase) (EC 5.3.3.14)	fabA b0954 JW0937	Escherichia coli (strain K12)	172
eco:b0957	P0A910	OMPA_ECOLI	reviewed	Outer membrane protein A (OmpA) (Outer membrane porin A) (Outer membrane protein 3A) (Outer membrane protein B) (Outer membrane protein II*) (Outer membrane protein d)	ompA con tolG tut b0957 JW0940	Escherichia coli (strain K12)	346
eco:b0958	P0AFZ5	SULA_ECOLI	reviewed	Cell division inhibitor SulA	sulA sfiA b0958 JW0941	Escherichia coli (strain K12)	169
eco:b0960	P75870	YCCS_ECOLI	reviewed	Inner membrane protein YccS	yccS b0960 JW5128	Escherichia coli (strain K12)	717
eco:b0973	P0ACD8	MBHL_ECOLI	reviewed	Hydrogenase-1 large chain (HYD1) (EC 1.12.99.6) (Membrane-bound hydrogenase 1 large subunit) (NiFe hydrogenase)	hyaB b0973 JW0955	Escherichia coli (strain K12)	597
eco:b0993	P39453	TORS_ECOLI	reviewed	Sensor protein TorS (EC 2.7.13.3)	torS yccI b0993 JW5135	Escherichia coli (strain K12)	914
eco:b0996	P33226	TORC_ECOLI	reviewed	Cytochrome c-type protein TorC	torC b0996 JW0981	Escherichia coli (strain K12)	390
eco:b0997	P33225	TORA_ECOLI	reviewed	Trimethylamine-N-oxide reductase 1 (TMAO reductase 1) (Trimethylamine oxidase 1) (EC 1.7.2.3)	torA b0997 JW0982	Escherichia coli (strain K12)	848
eco:b1000	P36659	CBPA_ECOLI	reviewed	Curved DNA-binding protein	cbpA b1000 JW0985	Escherichia coli (strain K12)	306
eco:b1014	P09546	PUTA_ECOLI	reviewed	Bifunctional protein PutA [Includes: Proline dehydrogenase (EC 1.5.5.2) (Proline oxidase); Delta-1-pyrroline-5-carboxylate dehydrogenase (P5C dehydrogenase) (EC 1.2.1.88) (L-glutamate gamma-semialdehyde dehydrogenase)]	putA poaA b1014 JW0999	Escherichia coli (strain K12)	1320
eco:b1015	P07117	PUTP_ECOLI	reviewed	Sodium/proline symporter (Proline permease) (Propionate transporter)	putP b1015 JW1001	Escherichia coli (strain K12)	502
eco:b1034	P75914	YCDX_ECOLI	reviewed	Probable phosphatase YcdX (EC 3.1.3.-)	ycdX b1034 JW1017	Escherichia coli (strain K12)	245
eco:b1041	P0ABK7	CSGB_ECOLI	reviewed	Minor curlin subunit	csgB b1041 JW1024	Escherichia coli (strain K12)	151
eco:b1049	P62517	OPGH_ECOLI	reviewed	Glucans biosynthesis glucosyltransferase H (EC 2.4.1.-)	mdoH opgH b1049 JW1037	Escherichia coli (strain K12)	847
eco:b1063	P0AB26	YCEB_ECOLI	reviewed	Uncharacterized lipoprotein YceB	yceB b1063 JW1050	Escherichia coli (strain K12)	186
eco:b1066	P0A948	RIMJ_ECOLI	reviewed	[Ribosomal protein S5]-alanine N-acetyltransferase (EC 2.3.1.267) (Acetylating enzyme for N-terminal of ribosomal protein S5)	rimJ b1066 JW1053	Escherichia coli (strain K12)	194
eco:b1070	P43533	FLGN_ECOLI	reviewed	Flagella synthesis protein FlgN	flgN b1070 JW1057	Escherichia coli (strain K12)	138
eco:b1071	P0AEM4	FLGM_ECOLI	reviewed	Negative regulator of flagellin synthesis (Anti-sigma-28 factor)	flgM b1071 JW1058	Escherichia coli (strain K12)	97
eco:b1072	P75933	FLGA_ECOLI	reviewed	Flagella basal body P-ring formation protein FlgA	flgA b1072 JW1059	Escherichia coli (strain K12)	219
eco:b1074	P0ABX2	FLGC_ECOLI	reviewed	Flagellar basal-body rod protein FlgC (Putative proximal rod protein)	flgC fla FIII flaW b1074 JW1061	Escherichia coli (strain K12)	134
eco:b1075	P75936	FLGD_ECOLI	reviewed	Basal-body rod modification protein FlgD	flgD fla FIV flaV b1075 JW1062	Escherichia coli (strain K12)	231
eco:b1076	P75937	FLGE_ECOLI	reviewed	Flagellar hook protein FlgE	flgE fla FV flaK b1076 JW1063	Escherichia coli (strain K12)	402
eco:b1077	P75938	FLGF_ECOLI	reviewed	Flagellar basal-body rod protein FlgF (Putative proximal rod protein)	flgF fla FVI flaX b1077 JW1064	Escherichia coli (strain K12)	251
eco:b1078	P0ABX5	FLGG_ECOLI	reviewed	Flagellar basal-body rod protein FlgG (Distal rod protein)	flgG fla FVII flaL b1078 JW1065	Escherichia coli (strain K12)	260
eco:b1079	P0A6S0	FLGH_ECOLI	reviewed	Flagellar L-ring protein (Basal body L-ring protein)	flgH fla FVIII flaY b1079 JW5153	Escherichia coli (strain K12)	232
eco:b1080	P0A6S3	FLGI_ECOLI	reviewed	Flagellar P-ring protein (Basal body P-ring protein)	flgI fla FIX flaM b1080 JW1067	Escherichia coli (strain K12)	365
eco:b1081	P75942	FLGJ_ECOLI	reviewed	Peptidoglycan hydrolase FlgJ (EC 3.2.1.-) (Muramidase FlgJ)	flgJ fla FX flaZ b1081 JW1068	Escherichia coli (strain K12)	313
eco:b1082	P33235	FLGK_ECOLI	reviewed	Flagellar hook-associated protein 1 (HAP1)	flgK flaS flaW b1082 JW1069	Escherichia coli (strain K12)	547
eco:b1083	P29744	FLGL_ECOLI	reviewed	Flagellar hook-associated protein 3 (HAP3) (Hook-filament junction protein)	flgL flaT flaU b1083 JW1070	Escherichia coli (strain K12)	317
eco:b1084	P21513	RNE_ECOLI	reviewed	Ribonuclease E (RNase E) (EC 3.1.26.12)	rne ams hmp1 b1084 JW1071	Escherichia coli (strain K12)	1061
eco:b1093	P0AEK2	FABG_ECOLI	reviewed	3-oxoacyl-[acyl-carrier-protein] reductase FabG (EC 1.1.1.100) (3-ketoacyl-acyl carrier protein reductase) (Beta-Ketoacyl-acyl carrier protein reductase) (Beta-ketoacyl-ACP reductase)	fabG b1093 JW1079	Escherichia coli (strain K12)	244
eco:b1094	P0A6A8	ACP_ECOLI	reviewed	Acyl carrier protein (ACP) (Cytosolic-activating factor) (CAF) (Fatty acid synthase acyl carrier protein)	acpP b1094 JW1080	Escherichia coli (strain K12)	78
eco:b1099	P28631	HOLB_ECOLI	reviewed	DNA polymerase III subunit delta' (EC 2.7.7.7)	holB b1099 JW1085	Escherichia coli (strain K12)	334
eco:b1101	P69786	PTGCB_ECOLI	reviewed	PTS system glucose-specific EIICB component (EIICB-Glc) (EII-Glc) [Includes: Glucose permease IIC component (PTS system glucose-specific EIIC component); Glucose-specific phosphotransferase enzyme IIB component (EC 2.7.1.199) (PTS system glucose-specific EIIB component)]	ptsG glcA umg b1101 JW1087	Escherichia coli (strain K12)	477
eco:b1109	P00393	DHNA_ECOLI	reviewed	NADH dehydrogenase (EC 7.1.1.2)	ndh b1109 JW1095	Escherichia coli (strain K12)	434
eco:b1114	P30958	MFD_ECOLI	reviewed	Transcription-repair-coupling factor (TRCF) (EC 3.6.4.-)	mfd b1114 JW1100	Escherichia coli (strain K12)	1148
eco:b1117	P75957	LOLD_ECOLI	reviewed	Lipoprotein-releasing system ATP-binding protein LolD (EC 7.6.2.-)	lolD ycfV b1117 JW5162	Escherichia coli (strain K12)	233
eco:b1127	P29745	PEPT_ECOLI	reviewed	Peptidase T (EC 3.4.11.4) (Aminotripeptidase) (Tripeptidase) (Tripeptide aminopeptidase)	pepT b1127 JW1113	Escherichia coli (strain K12)	408
eco:b1129	P23837	PHOQ_ECOLI	reviewed	Sensor protein PhoQ (EC 2.7.13.3) (EC 3.1.3.-) (Sensor histidine protein kinase/phosphatase PhoQ)	phoQ b1129 JW1115	Escherichia coli (strain K12)	486
eco:b1136	P08200	IDH_ECOLI	reviewed	Isocitrate dehydrogenase [NADP] (IDH) (EC 1.1.1.42) (IDP) (NADP(+)-specific ICDH) (Oxalosuccinate decarboxylase)	icd icdA icdE b1136 JW1122	Escherichia coli (strain K12)	416
eco:b1160	P75987	IRAM_ECOLI	reviewed	Anti-adapter protein IraM (Enhancing lycopene biosynthesis protein 1)	iraM elb1 elbA ycgW b1160 JW1147	Escherichia coli (strain K12)	107
eco:b1174	P0A734	MINE_ECOLI	reviewed	Cell division topological specificity factor	minE b1174 JW1163	Escherichia coli (strain K12)	88
eco:b1175	P0AEZ3	MIND_ECOLI	reviewed	Septum site-determining protein MinD (Cell division inhibitor MinD)	minD b1175 JW1164	Escherichia coli (strain K12)	270
eco:b1176	P18196	MINC_ECOLI	reviewed	Septum site-determining protein MinC	minC b1176 JW1165	Escherichia coli (strain K12)	231
eco:b1183	P0AG11	UMUD_ECOLI	reviewed	Protein UmuD (EC 3.4.21.-) (DNA polymerase V) (Pol V) [Cleaved into: Protein UmuD']	umuD b1183 JW1172	Escherichia coli (strain K12)	139
eco:b1184	P04152	UMUC_ECOLI	reviewed	Protein UmuC (DNA polymerase V) (Pol V)	umuC b1184 JW1173	Escherichia coli (strain K12)	422
eco:b1185	P0A6M2	DSBB_ECOLI	reviewed	Disulfide bond formation protein B (Disulfide oxidoreductase)	dsbB roxB ycgA b1185 JW5182	Escherichia coli (strain K12)	176
eco:b1189	P0A6J5	DADA_ECOLI	reviewed	D-amino acid dehydrogenase (EC 1.4.99.-) (D-alanine dehydrogenase)	dadA dadR b1189 JW1178	Escherichia coli (strain K12)	432
eco:b1194	P76010	YCGR_ECOLI	reviewed	Flagellar brake protein YcgR (Cyclic di-GMP binding protein YcgR)	ycgR b1194 JW1183	Escherichia coli (strain K12)	244
eco:b1199	P76014	DHAL_ECOLI	reviewed	PEP-dependent dihydroxyacetone kinase, ADP-binding subunit DhaL (EC 2.7.1.121)	dhaL ycgS b1199 JW5186	Escherichia coli (strain K12)	210
eco:b1200	P76015	DHAK_ECOLI	reviewed	PEP-dependent dihydroxyacetone kinase, dihydroxyacetone-binding subunit DhaK (EC 2.7.1.121)	dhaK ycgT b1200 JW5187	Escherichia coli (strain K12)	356
eco:b1201	P76016	DHAR_ECOLI	reviewed	PTS-dependent dihydroxyacetone kinase operon regulatory protein	dhaR ycgU b1201 JW5188	Escherichia coli (strain K12)	639
eco:b1207	P0A717	KPRS_ECOLI	reviewed	Ribose-phosphate pyrophosphokinase (RPPK) (EC 2.7.6.1) (5-phospho-D-ribosyl alpha-1-diphosphate) (Phosphoribosyl diphosphate synthase) (Phosphoribosyl pyrophosphate synthase) (P-Rib-PP synthase) (PRPP synthase) (PRPPase)	prs prsA b1207 JW1198	Escherichia coli (strain K12)	315
eco:b1221	P0AF28	NARL_ECOLI	reviewed	Nitrate/nitrite response regulator protein NarL	narL frdR b1221 JW1212	Escherichia coli (strain K12)	216
eco:b1224	P09152	NARG_ECOLI	reviewed	Respiratory nitrate reductase 1 alpha chain (EC 1.7.5.1) (Nitrate reductase A subunit alpha) (Quinol-nitrate oxidoreductase subunit alpha)	narG bisD narC b1224 JW1215	Escherichia coli (strain K12)	1247
eco:b1225	P11349	NARH_ECOLI	reviewed	Respiratory nitrate reductase 1 beta chain (EC 1.7.5.1) (Nitrate reductase A subunit beta) (Quinol-nitrate oxidoreductase subunit beta)	narH b1225 JW1216	Escherichia coli (strain K12)	512
eco:b1226	P0AF26	NARJ_ECOLI	reviewed	Nitrate reductase molybdenum cofactor assembly chaperone NarJ (Redox enzyme maturation protein NarJ)	narJ b1226 JW1217	Escherichia coli (strain K12)	236
eco:b1235	P0AEV1	RSSB_ECOLI	reviewed	Regulator of RpoS	rssB hnr sprE ychL b1235 JW1223	Escherichia coli (strain K12)	337
eco:b1237	P0ACF8	HNS_ECOLI	reviewed	DNA-binding protein H-NS (Heat-stable nucleoid-structuring protein) (Histone-like protein HLP-II) (Protein B1) (Protein H1)	hns bglY cur drdX hnsA msyA osmZ pilG topS b1237 JW1225	Escherichia coli (strain K12)	137
eco:b1238	P23331	KITH_ECOLI	reviewed	Thymidine kinase (EC 2.7.1.21)	tdk b1238 JW1226	Escherichia coli (strain K12)	205
eco:b1241	P0A9Q7	ADHE_ECOLI	reviewed	Aldehyde-alcohol dehydrogenase [Includes: Alcohol dehydrogenase (ADH) (EC 1.1.1.1); Acetaldehyde dehydrogenase [acetylating] (ACDH) (EC 1.2.1.10); Pyruvate-formate-lyase deactivase (PFL deactivase)]	adhE ana b1241 JW1228	Escherichia coli (strain K12)	891
eco:b1252	P02929	TONB_ECOLI	reviewed	Protein TonB	tonB exbA b1252 JW5195	Escherichia coli (strain K12)	239
eco:b1256	P0A915	OMPW_ECOLI	reviewed	Outer membrane protein W	ompW yciD b1256 JW1248	Escherichia coli (strain K12)	212
eco:b1269	P37765	RLUB_ECOLI	reviewed	Ribosomal large subunit pseudouridine synthase B (EC 5.4.99.22) (23S rRNA pseudouridine(2605) synthase) (rRNA pseudouridylate synthase B) (rRNA-uridine isomerase B)	rluB yciL b1269 JW1261	Escherichia coli (strain K12)	291
eco:b1274	P06612	TOP1_ECOLI	reviewed	DNA topoisomerase 1 (EC 5.6.2.1) (DNA topoisomerase I) (Omega-protein) (Relaxing enzyme) (Swivelase) (Untwisting enzyme)	topA supX b1274 JW1266	Escherichia coli (strain K12)	865
eco:b1288	P0AEK4	FABI_ECOLI	reviewed	Enoyl-[acyl-carrier-protein] reductase [NADH] FabI (ENR) (EC 1.3.1.9) (NADH-dependent enoyl-ACP reductase)	fabI envM b1288 JW1281	Escherichia coli (strain K12)	262
eco:b1303	P37344	PSPF_ECOLI	reviewed	Psp operon transcriptional activator (Phage shock protein F)	pspF ycjB b1303 JW1296	Escherichia coli (strain K12)	325
eco:b1304	P0AFM6	PSPA_ECOLI	reviewed	Phage shock protein A	pspA b1304 JW1297	Escherichia coli (strain K12)	222
eco:b1305	P0AFM9	PSPB_ECOLI	reviewed	Phage shock protein B	pspB b1305 JW1298	Escherichia coli (strain K12)	74
eco:b1306	P0AFN2	PSPC_ECOLI	reviewed	Phage shock protein C	pspC b1306 JW1299	Escherichia coli (strain K12)	119
eco:b1322	P0A8R7	YCJF_ECOLI	reviewed	UPF0283 membrane protein YcjF	ycjF b1322 JW1315	Escherichia coli (strain K12)	353
eco:b1324	P0A862	TPX_ECOLI	reviewed	Thiol peroxidase (Tpx) (EC 1.11.1.24) (Peroxiredoxin tpx) (Prx) (Scavengase p20) (Thioredoxin peroxidase) (Thioredoxin-dependent peroxiredoxin)	tpx yzzJ b1324 JW1317	Escherichia coli (strain K12)	168
eco:b1378	P52647	NIFJ_ECOLI	reviewed	Probable pyruvate-flavodoxin oxidoreductase (EC 1.2.7.-)	ydbK b1378 JW1372	Escherichia coli (strain K12)	1174
eco:b1415	P25553	ALDA_ECOLI	reviewed	Lactaldehyde dehydrogenase (EC 1.2.1.22) (Aldehyde dehydrogenase A) (Glycolaldehyde dehydrogenase) (EC 1.2.1.21)	aldA ald b1415 JW1412	Escherichia coli (strain K12)	479
eco:b1452	P76116	YNCE_ECOLI	reviewed	Uncharacterized protein YncE	yncE b1452 JW1447	Escherichia coli (strain K12)	353
eco:b1466	P19317	NARW_ECOLI	reviewed	Probable nitrate reductase molybdenum cofactor assembly chaperone NarW (Redox enzyme maturation protein NarW)	narW b1466 JW1461	Escherichia coli (strain K12)	231
eco:b1474	P24183	FDNG_ECOLI	reviewed	Formate dehydrogenase, nitrate-inducible, major subunit (EC 1.17.5.3) (Anaerobic formate dehydrogenase major subunit) (Formate dehydrogenase-N subunit alpha) (FDH-N subunit alpha)	fdnG b1474 JW1470	Escherichia coli (strain K12)	1015
eco:b1530	P27245	MARR_ECOLI	reviewed	Multiple antibiotic resistance protein MarR	marR cfxB inaR soxQ b1530 JW5248	Escherichia coli (strain K12)	144
eco:b1535	P31129	DGCZ_ECOLI	reviewed	Diguanylate cyclase DgcZ (DGC) (EC 2.7.7.65) (Zinc-sensory diguanylate cyclase)	dgcZ ydeG ydeH b1535 JW1528	Escherichia coli (strain K12)	296
eco:b1587	P77374	YNFE_ECOLI	reviewed	Putative dimethyl sulfoxide reductase chain YnfE (DMSO reductase) (EC 1.8.99.-)	ynfE b1587 JW1579	Escherichia coli (strain K12)	808
eco:b1588	P77783	YNFF_ECOLI	reviewed	Probable dimethyl sulfoxide reductase chain YnfF (DMSO reductase) (EC 1.8.99.-)	ynfF b1588 JW5260	Escherichia coli (strain K12)	807
eco:b1591	P69853	DMSD_ECOLI	reviewed	Tat proofreading chaperone DmsD (DMSO reductase maturation protein) (Twin-arginine leader-binding protein DmsD)	dmsD ynfI b1591 JW5262	Escherichia coli (strain K12)	204
eco:b1594	P50456	MLC_ECOLI	reviewed	Protein mlc (Making large colonies protein)	mlc b1594 JW1586	Escherichia coli (strain K12)	406
eco:b1608	P52108	RSTA_ECOLI	reviewed	Transcriptional regulatory protein RstA	rstA urpT b1608 JW1600	Escherichia coli (strain K12)	239
eco:b1609	P18392	RSTB_ECOLI	reviewed	Sensor protein RstB (EC 2.7.13.3)	rstB uspT b1609 JW1601	Escherichia coli (strain K12)	433
eco:b1610	P16525	TUS_ECOLI	reviewed	DNA replication terminus site-binding protein (Ter-binding protein)	tus tau b1610 JW1602	Escherichia coli (strain K12)	309
eco:b1614	P77804	YDGA_ECOLI	reviewed	Protein YdgA	ydgA b1614 JW1606	Escherichia coli (strain K12)	502
eco:b1622	P23256	MALY_ECOLI	reviewed	Protein MalY [Includes: Cystathionine beta-lyase MalY (CBL) (EC 4.4.1.13) (Beta-cystathionase MalY) (Cysteine lyase MalY) (Cysteine-S-conjugate beta-lyase MalY); Maltose regulon modulator]	malY b1622 JW1614	Escherichia coli (strain K12)	390
eco:b1623	P22333	ADD_ECOLI	reviewed	Adenosine deaminase (EC 3.5.4.4) (Adenosine aminohydrolase)	add b1623 JW1615	Escherichia coli (strain K12)	333
eco:b1656	P0AGD3	SODF_ECOLI	reviewed	Superoxide dismutase [Fe] (EC 1.15.1.1)	sodB b1656 JW1648	Escherichia coli (strain K12)	193
eco:b1679	P76194	SUFE_ECOLI	reviewed	Cysteine desulfuration protein SufE	sufE ynhA b1679 JW1669	Escherichia coli (strain K12)	138
eco:b1704	P00887	AROH_ECOLI	reviewed	Phospho-2-dehydro-3-deoxyheptonate aldolase, Trp-sensitive (EC 2.5.1.54) (3-deoxy-D-arabino-heptulosonate 7-phosphate synthase) (DAHP synthase) (Phospho-2-keto-3-deoxyheptonate aldolase)	aroH b1704 JW1694	Escherichia coli (strain K12)	348
eco:b1709	P06611	BTUD_ECOLI	reviewed	Vitamin B12 import ATP-binding protein BtuD (EC 7.6.2.8) (Vitamin B12-transporting ATPase)	btuD b1709 JW1699	Escherichia coli (strain K12)	249
eco:b1713	P07395	SYFB_ECOLI	reviewed	Phenylalanine--tRNA ligase beta subunit (EC 6.1.1.20) (Phenylalanyl-tRNA synthetase beta subunit) (PheRS)	pheT b1713 JW1703	Escherichia coli (strain K12)	795
eco:b1714	P08312	SYFA_ECOLI	reviewed	Phenylalanine--tRNA ligase alpha subunit (EC 6.1.1.20) (Phenylalanyl-tRNA synthetase alpha subunit) (PheRS)	pheS b1714 JW5277	Escherichia coli (strain K12)	327
eco:b1718	P0A707	IF3_ECOLI	reviewed	Translation initiation factor IF-3 [Cleaved into: Translation initiation factor IF-3, N-terminally processed; Translation initiation factor IF-3S]	infC fit srjA b1718 JW5829	Escherichia coli (strain K12)	180
eco:b1739	P0ADB1	OSME_ECOLI	reviewed	Osmotically-inducible putative lipoprotein OsmE (Activator of ntr-like gene protein)	osmE anr b1739 JW1728	Escherichia coli (strain K12)	112
eco:b1765	P0ACY1	YDJA_ECOLI	reviewed	Putative NAD(P)H nitroreductase YdjA (EC 1.-.-.-)	ydjA b1765 JW1754	Escherichia coli (strain K12)	183
eco:b1779	P0A9B2	G3P1_ECOLI	reviewed	Glyceraldehyde-3-phosphate dehydrogenase A (GAPDH-A) (EC 1.2.1.12) (NAD-dependent glyceraldehyde-3-phosphate dehydrogenase)	gapA b1779 JW1768	Escherichia coli (strain K12)	331
eco:b1812	P05041	PABB_ECOLI	reviewed	Aminodeoxychorismate synthase component 1 (ADC synthase) (ADCS) (EC 2.6.1.85) (4-amino-4-deoxychorismate synthase component 1)	pabB b1812 JW1801	Escherichia coli (strain K12)	453
eco:b1817	P69797	PTNAB_ECOLI	reviewed	PTS system mannose-specific EIIAB component (EC 2.7.1.191) (EIIAB-Man) (EIII-Man) [Includes: Mannose-specific phosphotransferase enzyme IIA component (PTS system mannose-specific EIIA component); Mannose-specific phosphotransferase enzyme IIB component (PTS system mannose-specific EIIB component)]	manX gptB ptsL b1817 JW1806	Escherichia coli (strain K12)	323
eco:b1823	P0A9Y6	CSPC_ECOLI	reviewed	Cold shock-like protein CspC (CSP-C)	cspC msmB b1823 JW1812	Escherichia coli (strain K12)	69
eco:b1830	P23865	PRC_ECOLI	reviewed	Tail-specific protease (EC 3.4.21.102) (C-terminal-processing peptidase) (PRC protein) (Protease Re)	prc tsp b1830 JW1819	Escherichia coli (strain K12)	682
eco:b1846	P33218	YEBE_ECOLI	reviewed	Inner membrane protein YebE	yebE b1846 JW1835	Escherichia coli (strain K12)	219
eco:b1854	P21599	KPYK2_ECOLI	reviewed	Pyruvate kinase II (EC 2.7.1.40) (PK-2)	pykA b1854 JW1843	Escherichia coli (strain K12)	480
eco:b1860	P0A812	RUVB_ECOLI	reviewed	Holliday junction ATP-dependent DNA helicase RuvB (EC 3.6.4.12)	ruvB b1860 JW1849	Escherichia coli (strain K12)	336
eco:b1878	P76297	FLHE_ECOLI	reviewed	Flagellar protein FlhE	flhE b1878 JW1867	Escherichia coli (strain K12)	130
eco:b1880	P76299	FLHB_ECOLI	reviewed	Flagellar biosynthetic protein FlhB	flhB yecQ b1880 JW1869	Escherichia coli (strain K12)	382
eco:b1881	P0A9H9	CHEZ_ECOLI	reviewed	Protein phosphatase CheZ (EC 3.1.3.-) (Chemotaxis protein CheZ)	cheZ b1881 JW1870	Escherichia coli (strain K12)	214
eco:b1882	P0AE67	CHEY_ECOLI	reviewed	Chemotaxis protein CheY	cheY b1882 JW1871	Escherichia coli (strain K12)	129
eco:b1883	P07330	CHEB_ECOLI	reviewed	Protein-glutamate methylesterase/protein-glutamine glutaminase (EC 3.1.1.61) (EC 3.5.1.44) (Chemotaxis response regulator protein-glutamate methylesterase/glutamine deamidase) (Methyl-accepting chemotaxis proteins-specific methylesterase/deamidase) (MCP-specific methylesterase/deamidase)	cheB b1883 JW1872	Escherichia coli (strain K12)	349
eco:b1884	P07364	CHER_ECOLI	reviewed	Chemotaxis protein methyltransferase (EC 2.1.1.80)	cheR cheX b1884 JW1873	Escherichia coli (strain K12)	286
eco:b1886	P07017	MCP2_ECOLI	reviewed	Methyl-accepting chemotaxis protein II (MCP-II) (Aspartate chemoreceptor protein)	tar cheM b1886 JW1875	Escherichia coli (strain K12)	553
eco:b1887	P0A964	CHEW_ECOLI	reviewed	Chemotaxis protein CheW	cheW b1887 JW1876	Escherichia coli (strain K12)	167
eco:b1888	P07363	CHEA_ECOLI	reviewed	Chemotaxis protein CheA (EC 2.7.13.3)	cheA b1888 JW1877	Escherichia coli (strain K12)	654
eco:b1892	P0A8S9	FLHD_ECOLI	reviewed	Flagellar transcriptional regulator FlhD	flhD flbB b1892 JW1881	Escherichia coli (strain K12)	116
eco:b1922	P0AEM6	FLIA_ECOLI	reviewed	RNA polymerase sigma factor FliA (RNA polymerase sigma factor for flagellar operon) (Sigma F) (Sigma-27) (Sigma-28)	fliA flaD rpoF b1922 JW1907	Escherichia coli (strain K12)	239
eco:b1924	P24216	FLID_ECOLI	reviewed	Flagellar hook-associated protein 2 (HAP2) (Filament cap protein) (Flagellar cap protein)	fliD flaV flbC b1924 JW1909	Escherichia coli (strain K12)	468
eco:b1925	P26608	FLIS_ECOLI	reviewed	Flagellar secretion chaperone FliS	fliS b1925 JW1910	Escherichia coli (strain K12)	136
eco:b1926	P0ABY2	FLIT_ECOLI	reviewed	Flagellar protein FliT	fliT b1926 JW1911	Escherichia coli (strain K12)	121
eco:b1938	P25798	FLIF_ECOLI	reviewed	Flagellar M-ring protein	fliF fla AII.1 fla BI b1938 JW1922	Escherichia coli (strain K12)	552
eco:b1939	P0ABZ1	FLIG_ECOLI	reviewed	Flagellar motor switch protein FliG	fliG fla AII.2 fla BII b1939 JW1923	Escherichia coli (strain K12)	331
eco:b1941	P52612	FLII_ECOLI	reviewed	Flagellum-specific ATP synthase (EC 7.1.2.2)	fliI fla AIII flaC b1941 JW1925	Escherichia coli (strain K12)	457
eco:b1944	P0ABX8	FLIL_ECOLI	reviewed	Flagellar protein FliL	fliL cheC1 fla AI fla QI b1944 JW1928	Escherichia coli (strain K12)	154
