yourlist:M2021051372FEB3358BE035486EE75ADE9E91772506A201F	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
eco:b0425	P0A9J4	PANE_ECOLI	reviewed	2-dehydropantoate 2-reductase (EC 1.1.1.169) (Ketopantoate reductase) (KPA reductase) (KPR)	panE apbA b0425 JW0415	Escherichia coli (strain K12)	303
eco:b0429	P0ABJ6	CYOD_ECOLI	reviewed	Cytochrome bo(3) ubiquinol oxidase subunit 4 (Cytochrome o ubiquinol oxidase subunit 4) (Cytochrome o subunit 4) (Oxidase bo(3) subunit 4) (Ubiquinol oxidase chain D) (Ubiquinol oxidase polypeptide IV) (Ubiquinol oxidase subunit 4)	cyoD b0429 JW0419	Escherichia coli (strain K12)	109
eco:b0430	P0ABJ3	CYOC_ECOLI	reviewed	Cytochrome bo(3) ubiquinol oxidase subunit 3 (Cytochrome o ubiquinol oxidase subunit 3) (Cytochrome o subunit 3) (Oxidase bo(3) subunit 3) (Ubiquinol oxidase chain C) (Ubiquinol oxidase polypeptide III) (Ubiquinol oxidase subunit 3)	cyoC b0430 JW0420	Escherichia coli (strain K12)	204
eco:b0431	P0ABI8	CYOB_ECOLI	reviewed	Cytochrome bo(3) ubiquinol oxidase subunit 1 (EC 7.1.1.3) (Cytochrome b562-o complex subunit I) (Cytochrome o ubiquinol oxidase subunit 1) (Cytochrome o subunit 1) (Oxidase bo(3) subunit 1) (Ubiquinol oxidase chain A) (Ubiquinol oxidase polypeptide I) (Ubiquinol oxidase subunit 1)	cyoB b0431 JW0421	Escherichia coli (strain K12)	663
eco:b0432	P0ABJ1	CYOA_ECOLI	reviewed	Cytochrome bo(3) ubiquinol oxidase subunit 2 (Cytochrome b562-o complex subunit II) (Cytochrome o ubiquinol oxidase subunit 2) (Cytochrome o subunit 2) (Oxidase bo(3) subunit 2) (Ubiquinol oxidase chain B) (Ubiquinol oxidase polypeptide II) (Ubiquinol oxidase subunit 2)	cyoA b0432 JW0422	Escherichia coli (strain K12)	315
eco:b0443	P77712	FADM_ECOLI	reviewed	Long-chain acyl-CoA thioesterase FadM (EC 3.1.2.-) (Acyl-CoA thioester hydrolase) (Thioesterase 3) (Thioesterase III)	fadM tesC ybaW b0443 JW0433	Escherichia coli (strain K12)	132
eco:b0444	P77756	QUEC_ECOLI	reviewed	7-cyano-7-deazaguanine synthase (EC 6.3.4.20) (7-cyano-7-carbaguanine synthase) (PreQ(0) synthase) (Queuosine biosynthesis protein QueC)	queC ybaX b0444 JW0434	Escherichia coli (strain K12)	231
eco:b0450	P0AC55	GLNK_ECOLI	reviewed	Nitrogen regulatory protein P-II 2	glnK ybaI b0450 JW0440	Escherichia coli (strain K12)	112
eco:b0452	P0AGG2	TESB_ECOLI	reviewed	Acyl-CoA thioesterase 2 (EC 3.1.2.20) (Thioesterase II) (TEII)	tesB b0452 JW0442	Escherichia coli (strain K12)	286
eco:b0474	P69441	KAD_ECOLI	reviewed	Adenylate kinase (AK) (EC 2.7.4.3) (ATP-AMP transphosphorylase) (ATP:AMP phosphotransferase) (Adenylate monophosphate kinase)	adk dnaW plsA b0474 JW0463	Escherichia coli (strain K12)	214
eco:b0475	P23871	HEMH_ECOLI	reviewed	Ferrochelatase (EC 4.99.1.1) (Heme synthase) (Protoheme ferro-lyase)	hemH popA visA b0475 JW0464	Escherichia coli (strain K12)	320
eco:b0477	P0AEW6	INGK_ECOLI	reviewed	Inosine-guanosine kinase (EC 2.7.1.73)	gsk b0477 JW0466	Escherichia coli (strain K12)	434
eco:b0480	P07024	USHA_ECOLI	reviewed	Protein UshA [Includes: UDP-sugar hydrolase (EC 3.6.1.45) (UDP-sugar diphosphatase) (UDP-sugar pyrophosphatase); 5'-nucleotidase (5'-NT) (EC 3.1.3.5)]	ushA b0480 JW0469	Escherichia coli (strain K12)	550
eco:b0485	P77454	GLSA1_ECOLI	reviewed	Glutaminase 1 (EC 3.5.1.2)	glsA1 ybaS b0485 JW0474	Escherichia coli (strain K12)	310
eco:b0494	P0ADA1	TESA_ECOLI	reviewed	Thioesterase 1/protease 1/lysophospholipase L1 (TAP) (Acyl-CoA thioesterase 1) (TESA) (EC 3.1.2.2) (Acyl-CoA thioesterase I) (Arylesterase) (EC 3.1.1.2) (Lysophospholipase L1) (EC 3.1.1.5) (Oleoyl-[acyl-carrier-protein] hydrolase) (EC 3.1.2.14) (Phospholipid degradation C) (Pldc) (Protease 1) (EC 3.4.21.-) (Protease I) (Thioesterase I/protease I) (TEP-I)	tesA apeA pldC b0494 JW0483	Escherichia coli (strain K12)	208
eco:b0505	P77731	ALLA_ECOLI	reviewed	Ureidoglycolate lyase (EC 4.3.2.3) (Ureidoglycolatase) (Ureidoglycolate hydrolase)	allA glxA2 ybbT b0505 JW0493	Escherichia coli (strain K12)	160
eco:b0507	P0AEP7	GCL_ECOLI	reviewed	Glyoxylate carboligase (EC 4.1.1.47) (Tartronate-semialdehyde synthase)	gcl b0507 JW0495	Escherichia coli (strain K12)	593
eco:b0509	P77161	GLXR_ECOLI	reviewed	2-hydroxy-3-oxopropionate reductase (EC 1.1.1.60) (Tartronate semialdehyde reductase) (TSAR)	glxR glxB1 ybbQ b0509 JW0497	Escherichia coli (strain K12)	292
eco:b0512	P77671	ALLB_ECOLI	reviewed	Allantoinase (EC 3.5.2.5) (Allantoin-utilizing enzyme)	allB glxB3 ybbX b0512 JW0500	Escherichia coli (strain K12)	453
eco:b0514	P77364	GLXK2_ECOLI	reviewed	Glycerate 3-kinase (EC 2.7.1.31) (D-Glycerate-3-kinase) (Glycerate kinase 2) (GK2)	glxK glxB5 ybbZ b0514 JW0502	Escherichia coli (strain K12)	381
eco:b0515	P75713	ALLE_ECOLI	reviewed	(S)-ureidoglycine aminohydrolase (UGHY) (UGlyAH) (EC 3.5.3.26)	allE glxB6 ylbA b0515 JW0503	Escherichia coli (strain K12)	261
eco:b0516	P77425	ALLC_ECOLI	reviewed	Allantoate amidohydrolase (AAH) (EC 3.5.3.9) (Allantoate deiminase)	allC glxB7 ylbB b0516 JW0504	Escherichia coli (strain K12)	411
eco:b0517	P77555	ALLD_ECOLI	reviewed	Ureidoglycolate dehydrogenase (NAD(+)) (EC 1.1.1.350)	allD glxB8 ylbC b0517 JW0505	Escherichia coli (strain K12)	349
eco:b0522	P09029	PURK_ECOLI	reviewed	N5-carboxyaminoimidazole ribonucleotide synthase (N5-CAIR synthase) (EC 6.3.4.18) (5-(carboxyamino)imidazole ribonucleotide synthetase)	purK b0522 JW0511	Escherichia coli (strain K12)	355
eco:b0523	P0AG18	PURE_ECOLI	reviewed	N5-carboxyaminoimidazole ribonucleotide mutase (N5-CAIR mutase) (EC 5.4.99.18) (5-(carboxyamino)imidazole ribonucleotide mutase)	purE b0523 JW0512	Escherichia coli (strain K12)	169
eco:b0524	P43341	LPXH_ECOLI	reviewed	UDP-2,3-diacylglucosamine hydrolase (EC 3.6.1.54) (UDP-2,3-diacylglucosamine diphosphatase) (UDP-2,3-diacylglucosamine pyrophosphatase)	lpxH ybbF b0524 JW0513	Escherichia coli (strain K12)	240
eco:b0526	P21888	SYC_ECOLI	reviewed	Cysteine--tRNA ligase (EC 6.1.1.16) (Cysteinyl-tRNA synthetase) (CysRS)	cysS b0526 JW0515	Escherichia coli (strain K12)	461
eco:b0529	P24186	FOLD_ECOLI	reviewed	Bifunctional protein FolD [Includes: Methylenetetrahydrofolate dehydrogenase (EC 1.5.1.5); Methenyltetrahydrofolate cyclohydrolase (EC 3.5.4.9)]	folD ads b0529 JW0518	Escherichia coli (strain K12)	288
eco:b0570	P77485	CUSS_ECOLI	reviewed	Sensor histidine kinase CusS (EC 2.7.13.3)	cusS ybcZ b0570 JW5082	Escherichia coli (strain K12)	480
eco:b0583	P19925	ENTD_ECOLI	reviewed	Enterobactin synthase component D (4'-phosphopantetheinyl transferase EntD) (EC 2.7.8.-) (Enterochelin synthase D)	entD b0583 JW5085	Escherichia coli (strain K12)	206
eco:b0586	P11454	ENTF_ECOLI	reviewed	Enterobactin synthase component F (EC 2.7.7.-) (Enterochelin synthase F) (Serine-activating enzyme) (Seryl-AMP ligase)	entF b0586 JW0578	Escherichia coli (strain K12)	1293
eco:b0593	P0AEJ2	ENTC_ECOLI	reviewed	Isochorismate synthase EntC (EC 5.4.4.2) (Isochorismate mutase)	entC b0593 JW0585	Escherichia coli (strain K12)	391
eco:b0594	P10378	ENTE_ECOLI	reviewed	Enterobactin synthase component E (EC 6.3.2.14) (2,3-dihydroxybenzoate-AMP ligase) (DHB-AMP ligase) (2,3-dihydroxybenzoate-AMP synthase) (EC 2.7.7.58) (Dihydroxybenzoic acid-activating enzyme) (Enterochelin synthase E) (S-dihydroxybenzoyltransferase) (EC 2.5.1.-)	entE b0594 JW0586	Escherichia coli (strain K12)	536
eco:b0595	P0ADI4	ENTB_ECOLI	reviewed	Enterobactin synthase component B (EC 6.3.2.14) (Enterobactin biosynthesis bifunctional protein EntB) (Enterochelin synthase B) [Includes: Isochorismatase (EC 3.3.2.1) (2,3-dihydro-2,3-dihydroxybenzoate synthase) (Isochorismate lyase); Aryl carrier protein (ArCP)]	entB entG b0595 JW0587	Escherichia coli (strain K12)	285
eco:b0596	P15047	ENTA_ECOLI	reviewed	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase (DiDHB-DH) (EC 1.3.1.28) (Trans-2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase)	entA b0596 JW0588	Escherichia coli (strain K12)	248
eco:b0613	P77231	CITG_ECOLI	reviewed	2-(5''-triphosphoribosyl)-3'-dephosphocoenzyme-A synthase (2-(5''-triphosphoribosyl)-3'-dephospho-CoA synthase) (EC 2.4.2.52)	citG ybdT b0613 JW0605	Escherichia coli (strain K12)	292
eco:b0614	P0A6G5	CITX_ECOLI	reviewed	Apo-citrate lyase phosphoribosyl-dephospho-CoA transferase (EC 2.7.7.61) (Apo-ACP nucleodityltransferase) (Holo-ACP synthase) (Holo-citrate lyase synthase)	citX ybdU b0614 JW0606	Escherichia coli (strain K12)	183
eco:b0615	P75726	CILA_ECOLI	reviewed	Citrate lyase alpha chain (Citrase alpha chain) (EC 4.1.3.6) (Citrate (pro-3S)-lyase alpha chain) (Citrate CoA-transferase subunit) (EC 2.8.3.10)	citF ybdV b0615 JW5087	Escherichia coli (strain K12)	510
eco:b0616	P0A9I1	CITE_ECOLI	reviewed	Citrate lyase subunit beta (Citrase beta chain) (EC 4.1.3.6) (Citrate (pro-3S)-lyase subunit beta) (Citryl-CoA lyase subunit) (EC 4.1.3.34)	citE ybdW b0616 JW0608	Escherichia coli (strain K12)	302
eco:b0619	P77510	DPIB_ECOLI	reviewed	Sensor histidine kinase DpiB (EC 2.7.13.3) (Sensor histidine kinase CitA)	dpiB citA mpdB ybeP b0619 JW0611	Escherichia coli (strain K12)	552
eco:b0628	P60716	LIPA_ECOLI	reviewed	Lipoyl synthase (EC 2.8.1.8) (Lip-syn) (LS) (Lipoate synthase) (Lipoic acid synthase) (Sulfur insertion protein LipA)	lipA lip b0628 JW0623	Escherichia coli (strain K12)	321
eco:b0630	P60720	LIPB_ECOLI	reviewed	Octanoyltransferase (EC 2.3.1.181) (Lipoate-protein ligase B) (Lipoyl/octanoyl transferase) (Octanoyl-[acyl-carrier-protein]-protein N-octanoyltransferase)	lipB b0630 JW5089	Escherichia coli (strain K12)	213
eco:b0638	P52086	COBC_ECOLI	reviewed	Adenosylcobalamin/alpha-ribazole phosphatase (EC 3.1.3.73) (Adenosylcobalamin phosphatase) (Alpha-ribazole-5'-phosphate phosphatase)	cobC phpB b0638 JW0633	Escherichia coli (strain K12)	203
eco:b0639	P0A752	NADD_ECOLI	reviewed	Nicotinate-nucleotide adenylyltransferase (EC 2.7.7.18) (Deamido-NAD(+) diphosphorylase) (Deamido-NAD(+) pyrophosphorylase) (Nicotinate mononucleotide adenylyltransferase) (NaMN adenylyltransferase)	nadD ybeN b0639 JW0634	Escherichia coli (strain K12)	213
eco:b0642	P07813	SYL_ECOLI	reviewed	Leucine--tRNA ligase (EC 6.1.1.4) (Leucyl-tRNA synthetase) (LeuRS)	leuS b0642 JW0637	Escherichia coli (strain K12)	860
eco:b0651	P41409	RIHA_ECOLI	reviewed	Pyrimidine-specific ribonucleoside hydrolase RihA (EC 3.2.-.-) (Cytidine/uridine-specific hydrolase)	rihA ybeK b0651 JW0646	Escherichia coli (strain K12)	311
eco:b0662	P75728	UBIF_ECOLI	reviewed	3-demethoxyubiquinol 3-hydroxylase (EC 1.14.99.60) (2-octaprenyl-3-methyl-6-methoxy-1,4-benzoquinol hydroxylase)	ubiF yleB b0662 JW0659	Escherichia coli (strain K12)	391
eco:b0674	P22106	ASNB_ECOLI	reviewed	Asparagine synthetase B [glutamine-hydrolyzing] (AS-B) (EC 6.3.5.4)	asnB b0674 JW0660	Escherichia coli (strain K12)	554
eco:b0675	P0AF24	NAGD_ECOLI	reviewed	Ribonucleotide monophosphatase NagD (EC 3.1.3.5)	nagD b0675 JW0661	Escherichia coli (strain K12)	250
eco:b0677	P0AF18	NAGA_ECOLI	reviewed	N-acetylglucosamine-6-phosphate deacetylase (GlcNAc 6-P deacetylase) (EC 3.5.1.25)	nagA b0677 JW0663	Escherichia coli (strain K12)	382
eco:b0678	P0A759	NAGB_ECOLI	reviewed	Glucosamine-6-phosphate deaminase (EC 3.5.99.6) (GlcN6P deaminase) (GNPDA) (Glucosamine-6-phosphate isomerase)	nagB glmD b0678 JW0664	Escherichia coli (strain K12)	266
eco:b0680	P00962	SYQ_ECOLI	reviewed	Glutamine--tRNA ligase (EC 6.1.1.18) (Glutaminyl-tRNA synthetase) (GlnRS)	glnS b0680 JW0666	Escherichia coli (strain K12)	554
eco:b0684	P61949	FLAV_ECOLI	reviewed	Flavodoxin 1 (Flavodoxin A)	fldA b0684 JW0671	Escherichia coli (strain K12)	176
eco:b0688	P36938	PGM_ECOLI	reviewed	Phosphoglucomutase (PGM) (EC 5.4.2.2) (Glucose phosphomutase)	pgm b0688 JW0675	Escherichia coli (strain K12)	546
eco:b0694	P21866	KDPE_ECOLI	reviewed	KDP operon transcriptional regulatory protein KdpE	kdpE b0694 JW5096	Escherichia coli (strain K12)	225
eco:b0720	P0ABH7	CISY_ECOLI	reviewed	Citrate synthase (EC 2.3.3.16)	gltA gluT icdB b0720 JW0710	Escherichia coli (strain K12)	427
eco:b0721	P69054	DHSC_ECOLI	reviewed	Succinate dehydrogenase cytochrome b556 subunit (Cytochrome b-556)	sdhC cybA b0721 JW0711	Escherichia coli (strain K12)	129
eco:b0722	P0AC44	DHSD_ECOLI	reviewed	Succinate dehydrogenase hydrophobic membrane anchor subunit	sdhD b0722 JW0712	Escherichia coli (strain K12)	115
eco:b0723	P0AC41	SDHA_ECOLI	reviewed	Succinate dehydrogenase flavoprotein subunit (EC 1.3.5.1)	sdhA b0723 JW0713	Escherichia coli (strain K12)	588
eco:b0724	P07014	SDHB_ECOLI	reviewed	Succinate dehydrogenase iron-sulfur subunit (EC 1.3.5.1)	sdhB b0724 JW0714	Escherichia coli (strain K12)	238
eco:b0726	P0AFG3	ODO1_ECOLI	reviewed	2-oxoglutarate dehydrogenase E1 component (EC 1.2.4.2) (Alpha-ketoglutarate dehydrogenase)	sucA b0726 JW0715	Escherichia coli (strain K12)	933
eco:b0727	P0AFG6	ODO2_ECOLI	reviewed	Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex (EC 2.3.1.61) (2-oxoglutarate dehydrogenase complex component E2) (OGDC-E2) (Dihydrolipoamide succinyltransferase component of 2-oxoglutarate dehydrogenase complex)	sucB b0727 JW0716	Escherichia coli (strain K12)	405
eco:b0728	P0A836	SUCC_ECOLI	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta (EC 6.2.1.5) (Succinyl-CoA synthetase subunit beta) (SCS-beta)	sucC b0728 JW0717	Escherichia coli (strain K12)	388
eco:b0729	P0AGE9	SUCD_ECOLI	reviewed	Succinate--CoA ligase [ADP-forming] subunit alpha (EC 6.2.1.5) (Succinyl-CoA synthetase subunit alpha) (SCS-alpha)	sucD b0729 JW0718	Escherichia coli (strain K12)	289
eco:b0732	P54746	MNGB_ECOLI	reviewed	Mannosylglycerate hydrolase (EC 3.2.1.-) (2-O-(6-phospho-mannosyl)-D-glycerate hydrolase) (Alpha-mannosidase mngB)	mngB ybgG b0732 JW0721	Escherichia coli (strain K12)	877
eco:b0733	P0ABJ9	CYDA_ECOLI	reviewed	Cytochrome bd-I ubiquinol oxidase subunit 1 (EC 7.1.1.7) (Cytochrome bd-I oxidase subunit I) (Cytochrome d ubiquinol oxidase subunit I)	cydA cyd-1 b0733 JW0722	Escherichia coli (strain K12)	522
eco:b0734	P0ABK2	CYDB_ECOLI	reviewed	Cytochrome bd-I ubiquinol oxidase subunit 2 (EC 7.1.1.7) (Cytochrome bd-I oxidase subunit II) (Cytochrome d ubiquinol oxidase subunit II)	cydB cyd-2 b0734 JW0723	Escherichia coli (strain K12)	379
eco:b0736	P0A8Z3	YBGC_ECOLI	reviewed	Acyl-CoA thioester hydrolase YbgC (Acyl-CoA thioesterase) (EC 3.1.2.-)	ybgC b0736 JW0726	Escherichia coli (strain K12)	134
eco:b0750	P11458	NADA_ECOLI	reviewed	Quinolinate synthase A (EC 2.5.1.72)	nadA nicA b0750 JW0733	Escherichia coli (strain K12)	347
eco:b0754	P0AB91	AROG_ECOLI	reviewed	Phospho-2-dehydro-3-deoxyheptonate aldolase, Phe-sensitive (EC 2.5.1.54) (3-deoxy-D-arabino-heptulosonate 7-phosphate synthase) (DAHP synthase) (Phospho-2-keto-3-deoxyheptonate aldolase)	aroG b0754 JW0737	Escherichia coli (strain K12)	350
eco:b0755	P62707	GPMA_ECOLI	reviewed	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase (BPG-dependent PGAM) (PGAM) (Phosphoglyceromutase) (dPGM) (EC 5.4.2.11)	gpmA gpm pgm pgmA b0755 JW0738	Escherichia coli (strain K12)	250
eco:b0756	P0A9C3	GALM_ECOLI	reviewed	Aldose 1-epimerase (EC 5.1.3.3) (Galactose mutarotase) (Type-1 mutarotase)	galM b0756 JW0739	Escherichia coli (strain K12)	346
eco:b0757	P0A6T3	GAL1_ECOLI	reviewed	Galactokinase (EC 2.7.1.6) (Galactose kinase)	galK galA b0757 JW0740	Escherichia coli (strain K12)	382
eco:b0758	P09148	GAL7_ECOLI	reviewed	Galactose-1-phosphate uridylyltransferase (Gal-1-P uridylyltransferase) (EC 2.7.7.12) (UDP-glucose--hexose-1-phosphate uridylyltransferase)	galT galB b0758 JW0741	Escherichia coli (strain K12)	348
eco:b0759	P09147	GALE_ECOLI	reviewed	UDP-glucose 4-epimerase (EC 5.1.3.2) (Galactowaldenase) (UDP-galactose 4-epimerase)	galE galD b0759 JW0742	Escherichia coli (strain K12)	338
eco:b0766	P21829	YBHA_ECOLI	reviewed	Pyridoxal phosphate phosphatase YbhA (PLP phosphatase) (EC 3.1.3.74)	ybhA b0766 JW0749	Escherichia coli (strain K12)	272
eco:b0767	P52697	6PGL_ECOLI	reviewed	6-phosphogluconolactonase (6-P-gluconolactonase) (Pgl) (EC 3.1.1.31)	pgl ybhE b0767 JW0750	Escherichia coli (strain K12)	331
eco:b0774	P12995	BIOA_ECOLI	reviewed	Adenosylmethionine-8-amino-7-oxononanoate aminotransferase (EC 2.6.1.62) (7,8-diamino-pelargonic acid aminotransferase) (DAPA AT) (DAPA aminotransferase) (7,8-diaminononanoate synthase) (DANS) (Diaminopelargonic acid synthase)	bioA b0774 JW0757	Escherichia coli (strain K12)	429
eco:b0775	P12996	BIOB_ECOLI	reviewed	Biotin synthase (EC 2.8.1.6)	bioB b0775 JW0758	Escherichia coli (strain K12)	346
eco:b0776	P12998	BIOF_ECOLI	reviewed	8-amino-7-oxononanoate synthase (AONS) (EC 2.3.1.47) (7-keto-8-amino-pelargonic acid synthase) (7-KAP synthase) (KAPA synthase) (8-amino-7-ketopelargonate synthase)	bioF b0776 JW0759	Escherichia coli (strain K12)	384
eco:b0777	P12999	BIOC_ECOLI	reviewed	Malonyl-[acyl-carrier protein] O-methyltransferase (Malonyl-ACP O-methyltransferase) (EC 2.1.1.197) (Biotin synthesis protein BioC)	bioC b0777 JW0760	Escherichia coli (strain K12)	251
eco:b0778	P13000	BIOD1_ECOLI	reviewed	ATP-dependent dethiobiotin synthetase BioD 1 (EC 6.3.3.3) (DTB synthetase 1) (DTBS 1) (Dethiobiotin synthase 1)	bioD1 b0778 JW0761	Escherichia coli (strain K12)	225
eco:b0781	P30745	MOAA_ECOLI	reviewed	GTP 3',8-cyclase (EC 4.1.99.22) (Molybdenum cofactor biosynthesis protein A)	moaA bisA chlA chlA1 narA b0781 JW0764	Escherichia coli (strain K12)	329
eco:b0784	P30748	MOAD_ECOLI	reviewed	Molybdopterin synthase sulfur carrier subunit (MPT synthase subunit 1) (Molybdenum cofactor biosynthesis protein D) (Molybdopterin-converting factor small subunit) (Molybdopterin-converting factor subunit 1) (Sulfur carrier protein MoaD)	moaD chlA4 chlM b0784 JW0767	Escherichia coli (strain K12)	81
eco:b0785	P30749	MOAE_ECOLI	reviewed	Molybdopterin synthase catalytic subunit (EC 2.8.1.12) (MPT synthase subunit 2) (Molybdenum cofactor biosynthesis protein E) (Molybdopterin-converting factor large subunit) (Molybdopterin-converting factor subunit 2)	moaE chlA5 b0785 JW0768	Escherichia coli (strain K12)	150
eco:b0789	P0AA84	CLSB_ECOLI	reviewed	Cardiolipin synthase B (CL synthase) (EC 2.7.8.-)	clsB ybhO b0789 JW0772	Escherichia coli (strain K12)	413
eco:b0822	P75792	SUPH_ECOLI	reviewed	Sugar phosphatase YbiV (EC 3.1.3.23)	ybiV supH b0822 JW0806	Escherichia coli (strain K12)	271
eco:b0826	P12282	MOEB_ECOLI	reviewed	Molybdopterin-synthase adenylyltransferase (EC 2.7.7.80) (MoaD protein adenylase) (Molybdopterin-converting factor subunit 1 adenylase) (Sulfur carrier protein MoaD adenylyltransferase)	moeB chlN b0826 JW0810	Escherichia coli (strain K12)	249
eco:b0827	P12281	MOEA_ECOLI	reviewed	Molybdopterin molybdenumtransferase (MPT Mo-transferase) (EC 2.10.1.1)	moeA bisB chlE narE b0827 JW0811	Escherichia coli (strain K12)	411
eco:b0828	P37595	IAAA_ECOLI	reviewed	Isoaspartyl peptidase (EC 3.4.19.5) (Beta-aspartyl-peptidase) (EcAIII) (Isoaspartyl dipeptidase) [Cleaved into: Isoaspartyl peptidase subunit alpha; Isoaspartyl peptidase subunit beta]	iaaA spt ybiK b0828 JW0812	Escherichia coli (strain K12)	321
eco:b0849	P68688	GLRX1_ECOLI	reviewed	Glutaredoxin 1 (Grx1)	grxA grx b0849 JW0833	Escherichia coli (strain K12)	85
eco:b0870	P75823	LTAE_ECOLI	reviewed	Low specificity L-threonine aldolase (Low specificity L-TA) (EC 4.1.2.48)	ltaE ybjU b0870 JW0854	Escherichia coli (strain K12)	333
eco:b0888	P0A9P4	TRXB_ECOLI	reviewed	Thioredoxin reductase (TRXR) (EC 1.8.1.9)	trxB b0888 JW0871	Escherichia coli (strain K12)	321
eco:b0893	P0A8L1	SYS_ECOLI	reviewed	Serine--tRNA ligase (EC 6.1.1.11) (Seryl-tRNA synthetase) (SerRS) (Seryl-tRNA(Ser/Sec) synthetase)	serS b0893 JW0876	Escherichia coli (strain K12)	430
eco:b0894	P18775	DMSA_ECOLI	reviewed	Dimethyl sulfoxide reductase DmsA (DMSO reductase) (DMSOR) (Me2SO reductase) (EC 1.8.5.3)	dmsA b0894 JW5118	Escherichia coli (strain K12)	814
eco:b0895	P18776	DMSB_ECOLI	reviewed	Anaerobic dimethyl sulfoxide reductase chain B (DMSO reductase iron-sulfur subunit)	dmsB b0895 JW0878	Escherichia coli (strain K12)	205
eco:b0896	P18777	DMSC_ECOLI	reviewed	Anaerobic dimethyl sulfoxide reductase chain C (DMSO reductase anchor subunit)	dmsC b0896 JW0879	Escherichia coli (strain K12)	287
eco:b0903	P09373	PFLB_ECOLI	reviewed	Formate acetyltransferase 1 (EC 2.3.1.54) (Pyruvate formate-lyase 1)	pflB pfl b0903 JW0886	Escherichia coli (strain K12)	760
eco:b0907	P23721	SERC_ECOLI	reviewed	Phosphoserine aminotransferase (EC 2.6.1.52) (Phosphohydroxythreonine aminotransferase) (PSAT)	serC pdxC pdxF b0907 JW0890	Escherichia coli (strain K12)	362
eco:b0908	P0A6D3	AROA_ECOLI	reviewed	3-phosphoshikimate 1-carboxyvinyltransferase (EC 2.5.1.19) (5-enolpyruvylshikimate-3-phosphate synthase) (EPSP synthase) (EPSPS)	aroA b0908 JW0891	Escherichia coli (strain K12)	427
eco:b0910	P0A6I0	KCY_ECOLI	reviewed	Cytidylate kinase (CK) (EC 2.7.4.25) (Cytidine monophosphate kinase) (CMP kinase) (Protein MssA) (p25)	cmk mssA ycaF ycaG b0910 JW0893	Escherichia coli (strain K12)	227
eco:b0915	P27300	LPXK_ECOLI	reviewed	Tetraacyldisaccharide 4'-kinase (EC 2.7.1.130) (Lipid A 4'-kinase)	lpxK ycaH b0915 JW0898	Escherichia coli (strain K12)	328
eco:b0918	P04951	KDSB_ECOLI	reviewed	3-deoxy-manno-octulosonate cytidylyltransferase (EC 2.7.7.38) (CMP-2-keto-3-deoxyoctulosonic acid synthase) (CKS) (CMP-KDO synthase)	kdsB b0918 JW0901	Escherichia coli (strain K12)	248
eco:b0928	P00509	AAT_ECOLI	reviewed	Aspartate aminotransferase (AspAT) (EC 2.6.1.1) (Transaminase A)	aspC b0928 JW0911	Escherichia coli (strain K12)	396
eco:b0930	P0A8M0	SYN_ECOLI	reviewed	Asparagine--tRNA ligase (EC 6.1.1.22) (Asparaginyl-tRNA synthetase) (AsnRS)	asnS tss b0930 JW0913	Escherichia coli (strain K12)	466
eco:b0931	P18133	PNCB_ECOLI	reviewed	Nicotinate phosphoribosyltransferase (NAPRTase) (EC 6.3.4.21)	pncB b0931 JW0914	Escherichia coli (strain K12)	400
eco:b0935	P80645	SSUD_ECOLI	reviewed	Alkanesulfonate monooxygenase (EC 1.14.14.5) (FMNH2-dependent aliphatic sulfonate monooxygenase) (Sulfate starvation-induced protein 6) (SSI6)	ssuD ycbN b0935 JW0918	Escherichia coli (strain K12)	381
eco:b0945	P0A7E1	PYRD_ECOLI	reviewed	Dihydroorotate dehydrogenase (quinone) (EC 1.3.5.2) (DHOdehase) (DHOD) (DHODase) (Dihydroorotate oxidase)	pyrD b0945 JW0928	Escherichia coli (strain K12)	336
eco:b0954	P0A6Q3	FABA_ECOLI	reviewed	3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase (EC 4.2.1.59) (3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabA) (Beta-hydroxydecanoyl thioester dehydrase) (Trans-2-decenoyl-[acyl-carrier-protein] isomerase) (EC 5.3.3.14)	fabA b0954 JW0937	Escherichia coli (strain K12)	172
eco:b0978	P26459	APPC_ECOLI	reviewed	Cytochrome bd-II ubiquinol oxidase subunit 1 (EC 7.1.1.3) (Cytochrome bd-II oxidase subunit I)	appC cbdA cyxA b0978 JW0960	Escherichia coli (strain K12)	514
eco:b0979	P26458	APPB_ECOLI	reviewed	Cytochrome bd-II ubiquinol oxidase subunit 2 (EC 7.1.1.3) (Cytochrome bd-II oxidase subunit II)	appB cbdB cyxB b0979 JW0961	Escherichia coli (strain K12)	378
eco:b0993	P39453	TORS_ECOLI	reviewed	Sensor protein TorS (EC 2.7.13.3)	torS yccI b0993 JW5135	Escherichia coli (strain K12)	914
eco:b0996	P33226	TORC_ECOLI	reviewed	Cytochrome c-type protein TorC	torC b0996 JW0981	Escherichia coli (strain K12)	390
