X1,X2,X3,X4,X5,X6,X7,X8,cid
imipenem,Bacterial penicillin-binding protein inhibitor,CHEMBL2354204,Bacterial penicillin-binding protein,P02919,Penicillin-binding protein 1B,Bacteria,enzyme  protease,104838
imipenem,Bacterial penicillin-binding protein inhibitor,CHEMBL2354204,Bacterial penicillin-binding protein,P08506,D-alanyl-D-alanine carboxypeptidase DacC,Bacteria,enzyme  protease  serine  se  s11,104838
imipenem,Bacterial penicillin-binding protein inhibitor,CHEMBL2354204,Bacterial penicillin-binding protein,P0AD65,Penicillin-binding protein 2,Bacteria,enzyme  protease  serine  unclassified,104838
imipenem,Bacterial penicillin-binding protein inhibitor,CHEMBL2354204,Bacterial penicillin-binding protein,P0AD68,Peptidoglycan synthase FtsI,Bacteria,enzyme  protease,104838
imipenem,Bacterial penicillin-binding protein inhibitor,CHEMBL2354204,Bacterial penicillin-binding protein,P0AEB2,D-alanyl-D-alanine carboxypeptidase DacA,Bacteria,enzyme  protease  serine  se  s11,104838
imipenem,Bacterial penicillin-binding protein inhibitor,CHEMBL2354204,Bacterial penicillin-binding protein,P24228,D-alanyl-D-alanine carboxypeptidase DacB,Bacteria,enzyme  protease  serine  se  s13,104838
loracarbef,Bacterial penicillin-binding protein inhibitor,CHEMBL2354204,Bacterial penicillin-binding protein,P02918,Penicillin-binding protein 1A,Bacteria,enzyme  protease  serine  unclassified,5284585
loracarbef,Bacterial penicillin-binding protein inhibitor,CHEMBL2354204,Bacterial penicillin-binding protein,P02919,Penicillin-binding protein 1B,Bacteria,enzyme  protease,5284585
loracarbef,Bacterial penicillin-binding protein inhibitor,CHEMBL2354204,Bacterial penicillin-binding protein,P08506,D-alanyl-D-alanine carboxypeptidase DacC,Bacteria,enzyme  protease  serine  se  s11,5284585
loracarbef,Bacterial penicillin-binding protein inhibitor,CHEMBL2354204,Bacterial penicillin-binding protein,P0AD65,Penicillin-binding protein 2,Bacteria,enzyme  protease  serine  unclassified,5284585
loracarbef,Bacterial penicillin-binding protein inhibitor,CHEMBL2354204,Bacterial penicillin-binding protein,P0AD68,Peptidoglycan synthase FtsI,Bacteria,enzyme  protease,5284585
loracarbef,Bacterial penicillin-binding protein inhibitor,CHEMBL2354204,Bacterial penicillin-binding protein,P0AEB2,D-alanyl-D-alanine carboxypeptidase DacA,Bacteria,enzyme  protease  serine  se  s11,5284585
loracarbef,Bacterial penicillin-binding protein inhibitor,CHEMBL2354204,Bacterial penicillin-binding protein,P24228,D-alanyl-D-alanine carboxypeptidase DacB,Bacteria,enzyme  protease  serine  se  s13,5284585
meropenem,Bacterial penicillin-binding protein inhibitor,CHEMBL2354204,Bacterial penicillin-binding protein,P02918,Penicillin-binding protein 1A,Bacteria,enzyme  protease  serine  unclassified,441130
meropenem,Bacterial penicillin-binding protein inhibitor,CHEMBL2354204,Bacterial penicillin-binding protein,P02919,Penicillin-binding protein 1B,Bacteria,enzyme  protease,441130
meropenem,Bacterial penicillin-binding protein inhibitor,CHEMBL2354204,Bacterial penicillin-binding protein,P08506,D-alanyl-D-alanine carboxypeptidase DacC,Bacteria,enzyme  protease  serine  se  s11,441130
meropenem,Bacterial penicillin-binding protein inhibitor,CHEMBL2354204,Bacterial penicillin-binding protein,P0AD65,Penicillin-binding protein 2,Bacteria,enzyme  protease  serine  unclassified,441130
meropenem,Bacterial penicillin-binding protein inhibitor,CHEMBL2354204,Bacterial penicillin-binding protein,P0AD68,Peptidoglycan synthase FtsI,Bacteria,enzyme  protease,441130
meropenem,Bacterial penicillin-binding protein inhibitor,CHEMBL2354204,Bacterial penicillin-binding protein,P0AEB2,D-alanyl-D-alanine carboxypeptidase DacA,Bacteria,enzyme  protease  serine  se  s11,441130
meropenem,Bacterial penicillin-binding protein inhibitor,CHEMBL2354204,Bacterial penicillin-binding protein,P24228,D-alanyl-D-alanine carboxypeptidase DacB,Bacteria,enzyme  protease  serine  se  s13,441130
mezlocillin,Bacterial penicillin-binding protein inhibitor,CHEMBL2354204,Bacterial penicillin-binding protein,P02918,Penicillin-binding protein 1A,Bacteria,enzyme  protease  serine  unclassified,656511
mezlocillin,Bacterial penicillin-binding protein inhibitor,CHEMBL2354204,Bacterial penicillin-binding protein,P02919,Penicillin-binding protein 1B,Bacteria,enzyme  protease,656511
mezlocillin,Bacterial penicillin-binding protein inhibitor,CHEMBL2354204,Bacterial penicillin-binding protein,P08506,D-alanyl-D-alanine carboxypeptidase DacC,Bacteria,enzyme  protease  serine  se  s11,656511
mezlocillin,Bacterial penicillin-binding protein inhibitor,CHEMBL2354204,Bacterial penicillin-binding protein,P0AD65,Penicillin-binding protein 2,Bacteria,enzyme  protease  serine  unclassified,656511
mezlocillin,Bacterial penicillin-binding protein inhibitor,CHEMBL2354204,Bacterial penicillin-binding protein,P0AD68,Peptidoglycan synthase FtsI,Bacteria,enzyme  protease,656511
mezlocillin,Bacterial penicillin-binding protein inhibitor,CHEMBL2354204,Bacterial penicillin-binding protein,P0AEB2,D-alanyl-D-alanine carboxypeptidase DacA,Bacteria,enzyme  protease  serine  se  s11,656511
mezlocillin,Bacterial penicillin-binding protein inhibitor,CHEMBL2354204,Bacterial penicillin-binding protein,P24228,D-alanyl-D-alanine carboxypeptidase DacB,Bacteria,enzyme  protease  serine  se  s13,656511
moxalactam,Bacterial penicillin-binding protein inhibitor,CHEMBL2354204,Bacterial penicillin-binding protein,P02918,Penicillin-binding protein 1A,Bacteria,enzyme  protease  serine  unclassified,47499
moxalactam,Bacterial penicillin-binding protein inhibitor,CHEMBL2354204,Bacterial penicillin-binding protein,P02919,Penicillin-binding protein 1B,Bacteria,enzyme  protease,47499
moxalactam,Bacterial penicillin-binding protein inhibitor,CHEMBL2354204,Bacterial penicillin-binding protein,P08506,D-alanyl-D-alanine carboxypeptidase DacC,Bacteria,enzyme  protease  serine  se  s11,47499
moxalactam,Bacterial penicillin-binding protein inhibitor,CHEMBL2354204,Bacterial penicillin-binding protein,P0AD65,Penicillin-binding protein 2,Bacteria,enzyme  protease  serine  unclassified,47499
moxalactam,Bacterial penicillin-binding protein inhibitor,CHEMBL2354204,Bacterial penicillin-binding protein,P0AD68,Peptidoglycan synthase FtsI,Bacteria,enzyme  protease,47499
moxalactam,Bacterial penicillin-binding protein inhibitor,CHEMBL2354204,Bacterial penicillin-binding protein,P0AEB2,D-alanyl-D-alanine carboxypeptidase DacA,Bacteria,enzyme  protease  serine  se  s11,47499
moxalactam,Bacterial penicillin-binding protein inhibitor,CHEMBL2354204,Bacterial penicillin-binding protein,P24228,D-alanyl-D-alanine carboxypeptidase DacB,Bacteria,enzyme  protease  serine  se  s13,47499
penicillin v,Bacterial penicillin-binding protein inhibitor,CHEMBL2354204,Bacterial penicillin-binding protein,P02918,Penicillin-binding protein 1A,Bacteria,enzyme  protease  serine  unclassified,6869
penicillin v,Bacterial penicillin-binding protein inhibitor,CHEMBL2354204,Bacterial penicillin-binding protein,P02919,Penicillin-binding protein 1B,Bacteria,enzyme  protease,6869
penicillin v,Bacterial penicillin-binding protein inhibitor,CHEMBL2354204,Bacterial penicillin-binding protein,P08506,D-alanyl-D-alanine carboxypeptidase DacC,Bacteria,enzyme  protease  serine  se  s11,6869
penicillin v,Bacterial penicillin-binding protein inhibitor,CHEMBL2354204,Bacterial penicillin-binding protein,P0AD65,Penicillin-binding protein 2,Bacteria,enzyme  protease  serine  unclassified,6869
penicillin v,Bacterial penicillin-binding protein inhibitor,CHEMBL2354204,Bacterial penicillin-binding protein,P0AD68,Peptidoglycan synthase FtsI,Bacteria,enzyme  protease,6869
penicillin v,Bacterial penicillin-binding protein inhibitor,CHEMBL2354204,Bacterial penicillin-binding protein,P0AEB2,D-alanyl-D-alanine carboxypeptidase DacA,Bacteria,enzyme  protease  serine  se  s11,6869
penicillin v,Bacterial penicillin-binding protein inhibitor,CHEMBL2354204,Bacterial penicillin-binding protein,P24228,D-alanyl-D-alanine carboxypeptidase DacB,Bacteria,enzyme  protease  serine  se  s13,6869
piperacillin,Bacterial penicillin-binding protein inhibitor,CHEMBL2354204,Bacterial penicillin-binding protein,P02918,Penicillin-binding protein 1A,Bacteria,enzyme  protease  serine  unclassified,43672
piperacillin,Bacterial penicillin-binding protein inhibitor,CHEMBL2354204,Bacterial penicillin-binding protein,P02919,Penicillin-binding protein 1B,Bacteria,enzyme  protease,43672
piperacillin,Bacterial penicillin-binding protein inhibitor,CHEMBL2354204,Bacterial penicillin-binding protein,P08506,D-alanyl-D-alanine carboxypeptidase DacC,Bacteria,enzyme  protease  serine  se  s11,43672
piperacillin,Bacterial penicillin-binding protein inhibitor,CHEMBL2354204,Bacterial penicillin-binding protein,P0AD65,Penicillin-binding protein 2,Bacteria,enzyme  protease  serine  unclassified,43672
piperacillin,Bacterial penicillin-binding protein inhibitor,CHEMBL2354204,Bacterial penicillin-binding protein,P0AD68,Peptidoglycan synthase FtsI,Bacteria,enzyme  protease,43672
piperacillin,Bacterial penicillin-binding protein inhibitor,CHEMBL2354204,Bacterial penicillin-binding protein,P0AEB2,D-alanyl-D-alanine carboxypeptidase DacA,Bacteria,enzyme  protease  serine  se  s11,43672
piperacillin,Bacterial penicillin-binding protein inhibitor,CHEMBL2354204,Bacterial penicillin-binding protein,P24228,D-alanyl-D-alanine carboxypeptidase DacB,Bacteria,enzyme  protease  serine  se  s13,43672
ticarcillin,Bacterial penicillin-binding protein inhibitor,CHEMBL2354204,Bacterial penicillin-binding protein,P02918,Penicillin-binding protein 1A,Bacteria,enzyme  protease  serine  unclassified,36921
ticarcillin,Bacterial penicillin-binding protein inhibitor,CHEMBL2354204,Bacterial penicillin-binding protein,P02919,Penicillin-binding protein 1B,Bacteria,enzyme  protease,36921
ticarcillin,Bacterial penicillin-binding protein inhibitor,CHEMBL2354204,Bacterial penicillin-binding protein,P08506,D-alanyl-D-alanine carboxypeptidase DacC,Bacteria,enzyme  protease  serine  se  s11,36921
ticarcillin,Bacterial penicillin-binding protein inhibitor,CHEMBL2354204,Bacterial penicillin-binding protein,P0AD65,Penicillin-binding protein 2,Bacteria,enzyme  protease  serine  unclassified,36921
ticarcillin,Bacterial penicillin-binding protein inhibitor,CHEMBL2354204,Bacterial penicillin-binding protein,P0AD68,Peptidoglycan synthase FtsI,Bacteria,enzyme  protease,36921
ticarcillin,Bacterial penicillin-binding protein inhibitor,CHEMBL2354204,Bacterial penicillin-binding protein,P0AEB2,D-alanyl-D-alanine carboxypeptidase DacA,Bacteria,enzyme  protease  serine  se  s11,36921
ticarcillin,Bacterial penicillin-binding protein inhibitor,CHEMBL2354204,Bacterial penicillin-binding protein,P24228,D-alanyl-D-alanine carboxypeptidase DacB,Bacteria,enzyme  protease  serine  se  s13,36921
acetohydroxamic acid,Bacterial urease inhibitor,CHEMBL2364683,Bacterial urease,Q03282,Urease subunit gamma,Bacteria,enzyme  hydrolase,1990
acetohydroxamic acid,Bacterial urease inhibitor,CHEMBL2364683,Bacterial urease,Q03283,Urease subunit beta,Bacteria,enzyme  hydrolase,1990
acetohydroxamic acid,Bacterial urease inhibitor,CHEMBL2364683,Bacterial urease,Q03284,Urease subunit alpha,Bacteria,enzyme  hydrolase,1990
ponatinib,Bcr/Abl fusion protein inhibitor,CHEMBL2096618,Bcr/Abl fusion protein,P00519,Tyrosine-protein kinase ABL1,Homo sapiens,enzyme  kinase  protein kinase  tk  abl,24826799
ponatinib,Bcr/Abl fusion protein inhibitor,CHEMBL2096618,Bcr/Abl fusion protein,P11274,Breakpoint cluster region protein,Homo sapiens,cytosolic other,24826799
ponatinib,Bcr/Abl fusion protein inhibitor,CHEMBL2096618,Bcr/Abl fusion protein,P11274,Breakpoint cluster region protein,Homo sapiens,enzyme  kinase  protein kinase  atypical  bcr,24826799
dobutamine,Beta-1 adrenergic receptor agonist,CHEMBL213,Beta-1 adrenergic receptor,P08588,Beta-1 adrenergic receptor,Homo sapiens,membrane receptor  7tm1  smallmol  monoamine receptor  adrenergic receptor,36811
dopamine,Beta-1 adrenergic receptor agonist,CHEMBL213,Beta-1 adrenergic receptor,P08588,Beta-1 adrenergic receptor,Homo sapiens,membrane receptor  7tm1  smallmol  monoamine receptor  adrenergic receptor,681
acebutolol,Beta-1 adrenergic receptor antagonist,CHEMBL213,Beta-1 adrenergic receptor,P08588,Beta-1 adrenergic receptor,Homo sapiens,membrane receptor  7tm1  smallmol  monoamine receptor  adrenergic receptor,1978
atenolol,Beta-1 adrenergic receptor antagonist,CHEMBL213,Beta-1 adrenergic receptor,P08588,Beta-1 adrenergic receptor,Homo sapiens,membrane receptor  7tm1  smallmol  monoamine receptor  adrenergic receptor,2249
betaxolol,Beta-1 adrenergic receptor antagonist,CHEMBL213,Beta-1 adrenergic receptor,P08588,Beta-1 adrenergic receptor,Homo sapiens,membrane receptor  7tm1  smallmol  monoamine receptor  adrenergic receptor,2369
bisoprolol,Beta-1 adrenergic receptor antagonist,CHEMBL213,Beta-1 adrenergic receptor,P08588,Beta-1 adrenergic receptor,Homo sapiens,membrane receptor  7tm1  smallmol  monoamine receptor  adrenergic receptor,2405
esmolol,Beta-1 adrenergic receptor antagonist,CHEMBL213,Beta-1 adrenergic receptor,P08588,Beta-1 adrenergic receptor,Homo sapiens,membrane receptor  7tm1  smallmol  monoamine receptor  adrenergic receptor,59768
levobetaxolol,Beta-1 adrenergic receptor antagonist,CHEMBL213,Beta-1 adrenergic receptor,P08588,Beta-1 adrenergic receptor,Homo sapiens,membrane receptor  7tm1  smallmol  monoamine receptor  adrenergic receptor,60657
levobunolol,Beta-1 adrenergic receptor antagonist,CHEMBL213,Beta-1 adrenergic receptor,P08588,Beta-1 adrenergic receptor,Homo sapiens,membrane receptor  7tm1  smallmol  monoamine receptor  adrenergic receptor,39468
metipranolol,Beta-1 adrenergic receptor antagonist,CHEMBL213,Beta-1 adrenergic receptor,P08588,Beta-1 adrenergic receptor,Homo sapiens,membrane receptor  7tm1  smallmol  monoamine receptor  adrenergic receptor,31477
metoprolol,Beta-1 adrenergic receptor antagonist,CHEMBL213,Beta-1 adrenergic receptor,P08588,Beta-1 adrenergic receptor,Homo sapiens,membrane receptor  7tm1  smallmol  monoamine receptor  adrenergic receptor,4171
nadolol,Beta-1 adrenergic receptor antagonist,CHEMBL213,Beta-1 adrenergic receptor,P08588,Beta-1 adrenergic receptor,Homo sapiens,membrane receptor  7tm1  smallmol  monoamine receptor  adrenergic receptor,39147
nebivolol,Beta-1 adrenergic receptor antagonist,CHEMBL213,Beta-1 adrenergic receptor,P08588,Beta-1 adrenergic receptor,Homo sapiens,membrane receptor  7tm1  smallmol  monoamine receptor  adrenergic receptor,118422671
oxprenolol,Beta-1 adrenergic receptor antagonist,CHEMBL213,Beta-1 adrenergic receptor,P08588,Beta-1 adrenergic receptor,Homo sapiens,membrane receptor  7tm1  smallmol  monoamine receptor  adrenergic receptor,4631
penbutolol,Beta-1 adrenergic receptor antagonist,CHEMBL213,Beta-1 adrenergic receptor,P08588,Beta-1 adrenergic receptor,Homo sapiens,membrane receptor  7tm1  smallmol  monoamine receptor  adrenergic receptor,37464
propafenone,Beta-1 adrenergic receptor antagonist,CHEMBL213,Beta-1 adrenergic receptor,P08588,Beta-1 adrenergic receptor,Homo sapiens,membrane receptor  7tm1  smallmol  monoamine receptor  adrenergic receptor,4932
propranolol,Beta-1 adrenergic receptor antagonist,CHEMBL213,Beta-1 adrenergic receptor,P08588,Beta-1 adrenergic receptor,Homo sapiens,membrane receptor  7tm1  smallmol  monoamine receptor  adrenergic receptor,4946
sotalol,Beta-1 adrenergic receptor antagonist,CHEMBL213,Beta-1 adrenergic receptor,P08588,Beta-1 adrenergic receptor,Homo sapiens,membrane receptor  7tm1  smallmol  monoamine receptor  adrenergic receptor,5253
timolol,Beta-1 adrenergic receptor antagonist,CHEMBL213,Beta-1 adrenergic receptor,P08588,Beta-1 adrenergic receptor,Homo sapiens,membrane receptor  7tm1  smallmol  monoamine receptor  adrenergic receptor,33624
pindolol,Beta-1 adrenergic receptor partial agonist,CHEMBL213,Beta-1 adrenergic receptor,P08588,Beta-1 adrenergic receptor,Homo sapiens,membrane receptor  7tm1  smallmol  monoamine receptor  adrenergic receptor,4828
albuterol,Beta-2 adrenergic receptor agonist,CHEMBL210,Beta-2 adrenergic receptor,P07550,Beta-2 adrenergic receptor,Homo sapiens,membrane receptor  7tm1  smallmol  monoamine receptor  adrenergic receptor,2083
arformoterol,Beta-2 adrenergic receptor agonist,CHEMBL210,Beta-2 adrenergic receptor,P07550,Beta-2 adrenergic receptor,Homo sapiens,membrane receptor  7tm1  smallmol  monoamine receptor  adrenergic receptor,3083544
bitolterol,Beta-2 adrenergic receptor agonist,CHEMBL210,Beta-2 adrenergic receptor,P07550,Beta-2 adrenergic receptor,Homo sapiens,membrane receptor  7tm1  smallmol  monoamine receptor  adrenergic receptor,35330
dobutamine,Beta-2 adrenergic receptor agonist,CHEMBL210,Beta-2 adrenergic receptor,P07550,Beta-2 adrenergic receptor,Homo sapiens,membrane receptor  7tm1  smallmol  monoamine receptor  adrenergic receptor,36811
formoterol,Beta-2 adrenergic receptor agonist,CHEMBL210,Beta-2 adrenergic receptor,P07550,Beta-2 adrenergic receptor,Homo sapiens,membrane receptor  7tm1  smallmol  monoamine receptor  adrenergic receptor,3034756
indacaterol,Beta-2 adrenergic receptor agonist,CHEMBL210,Beta-2 adrenergic receptor,P07550,Beta-2 adrenergic receptor,Homo sapiens,membrane receptor  7tm1  smallmol  monoamine receptor  adrenergic receptor,6918554
isoetharine,Beta-2 adrenergic receptor agonist,CHEMBL210,Beta-2 adrenergic receptor,P07550,Beta-2 adrenergic receptor,Homo sapiens,membrane receptor  7tm1  smallmol  monoamine receptor  adrenergic receptor,3762
levosalbutamol,Beta-2 adrenergic receptor agonist,CHEMBL210,Beta-2 adrenergic receptor,P07550,Beta-2 adrenergic receptor,Homo sapiens,membrane receptor  7tm1  smallmol  monoamine receptor  adrenergic receptor,123600
metaproterenol,Beta-2 adrenergic receptor agonist,CHEMBL210,Beta-2 adrenergic receptor,P07550,Beta-2 adrenergic receptor,Homo sapiens,membrane receptor  7tm1  smallmol  monoamine receptor  adrenergic receptor,4086
olodaterol,Beta-2 adrenergic receptor agonist,CHEMBL210,Beta-2 adrenergic receptor,P07550,Beta-2 adrenergic receptor,Homo sapiens,membrane receptor  7tm1  smallmol  monoamine receptor  adrenergic receptor,11504295
pirbuterol,Beta-2 adrenergic receptor agonist,CHEMBL210,Beta-2 adrenergic receptor,P07550,Beta-2 adrenergic receptor,Homo sapiens,membrane receptor  7tm1  smallmol  monoamine receptor  adrenergic receptor,4845
protokylol,Beta-2 adrenergic receptor agonist,CHEMBL210,Beta-2 adrenergic receptor,P07550,Beta-2 adrenergic receptor,Homo sapiens,membrane receptor  7tm1  smallmol  monoamine receptor  adrenergic receptor,4969
ritodrine,Beta-2 adrenergic receptor agonist,CHEMBL210,Beta-2 adrenergic receptor,P07550,Beta-2 adrenergic receptor,Homo sapiens,membrane receptor  7tm1  smallmol  monoamine receptor  adrenergic receptor,31728
salmeterol,Beta-2 adrenergic receptor agonist,CHEMBL210,Beta-2 adrenergic receptor,P07550,Beta-2 adrenergic receptor,Homo sapiens,membrane receptor  7tm1  smallmol  monoamine receptor  adrenergic receptor,5152
terbutaline,Beta-2 adrenergic receptor agonist,CHEMBL210,Beta-2 adrenergic receptor,P07550,Beta-2 adrenergic receptor,Homo sapiens,membrane receptor  7tm1  smallmol  monoamine receptor  adrenergic receptor,5403
vilanterol,Beta-2 adrenergic receptor agonist,CHEMBL210,Beta-2 adrenergic receptor,P07550,Beta-2 adrenergic receptor,Homo sapiens,membrane receptor  7tm1  smallmol  monoamine receptor  adrenergic receptor,10184665
esmolol,Beta-2 adrenergic receptor antagonist,CHEMBL210,Beta-2 adrenergic receptor,P07550,Beta-2 adrenergic receptor,Homo sapiens,membrane receptor  7tm1  smallmol  monoamine receptor  adrenergic receptor,59768
levobunolol,Beta-2 adrenergic receptor antagonist,CHEMBL210,Beta-2 adrenergic receptor,P07550,Beta-2 adrenergic receptor,Homo sapiens,membrane receptor  7tm1  smallmol  monoamine receptor  adrenergic receptor,39468
metipranolol,Beta-2 adrenergic receptor antagonist,CHEMBL210,Beta-2 adrenergic receptor,P07550,Beta-2 adrenergic receptor,Homo sapiens,membrane receptor  7tm1  smallmol  monoamine receptor  adrenergic receptor,31477
nadolol,Beta-2 adrenergic receptor antagonist,CHEMBL210,Beta-2 adrenergic receptor,P07550,Beta-2 adrenergic receptor,Homo sapiens,membrane receptor  7tm1  smallmol  monoamine receptor  adrenergic receptor,39147
nebivolol,Beta-2 adrenergic receptor antagonist,CHEMBL210,Beta-2 adrenergic receptor,P07550,Beta-2 adrenergic receptor,Homo sapiens,membrane receptor  7tm1  smallmol  monoamine receptor  adrenergic receptor,118422671
oxprenolol,Beta-2 adrenergic receptor antagonist,CHEMBL210,Beta-2 adrenergic receptor,P07550,Beta-2 adrenergic receptor,Homo sapiens,membrane receptor  7tm1  smallmol  monoamine receptor  adrenergic receptor,4631
penbutolol,Beta-2 adrenergic receptor antagonist,CHEMBL210,Beta-2 adrenergic receptor,P07550,Beta-2 adrenergic receptor,Homo sapiens,membrane receptor  7tm1  smallmol  monoamine receptor  adrenergic receptor,37464
propafenone,Beta-2 adrenergic receptor antagonist,CHEMBL210,Beta-2 adrenergic receptor,P07550,Beta-2 adrenergic receptor,Homo sapiens,membrane receptor  7tm1  smallmol  monoamine receptor  adrenergic receptor,4932
propranolol,Beta-2 adrenergic receptor antagonist,CHEMBL210,Beta-2 adrenergic receptor,P07550,Beta-2 adrenergic receptor,Homo sapiens,membrane receptor  7tm1  smallmol  monoamine receptor  adrenergic receptor,4946
sotalol,Beta-2 adrenergic receptor antagonist,CHEMBL210,Beta-2 adrenergic receptor,P07550,Beta-2 adrenergic receptor,Homo sapiens,membrane receptor  7tm1  smallmol  monoamine receptor  adrenergic receptor,5253
timolol,Beta-2 adrenergic receptor antagonist,CHEMBL210,Beta-2 adrenergic receptor,P07550,Beta-2 adrenergic receptor,Homo sapiens,membrane receptor  7tm1  smallmol  monoamine receptor  adrenergic receptor,33624
pindolol,Beta-2 adrenergic receptor partial agonist,CHEMBL210,Beta-2 adrenergic receptor,P07550,Beta-2 adrenergic receptor,Homo sapiens,membrane receptor  7tm1  smallmol  monoamine receptor  adrenergic receptor,4828
mirabegron,Beta-3 adrenergic receptor agonist,CHEMBL246,Beta-3 adrenergic receptor,P13945,Beta-3 adrenergic receptor,Homo sapiens,membrane receptor  7tm1  smallmol  monoamine receptor  adrenergic receptor,9865528
betaine,Betaine-homocysteine S-methyltransferase substrate,CHEMBL3391661,Betaine-homocysteine S-methyltransferase,Q93088,Betaine--homocysteine S-methyltransferase 1,Homo sapiens,enzyme,247
betaine,Betaine-homocysteine S-methyltransferase substrate,CHEMBL3391661,Betaine-homocysteine S-methyltransferase,Q9H2M3,S-methylmethionine--homocysteine S-methyltransferase BHMT2,Homo sapiens,enzyme,247
chenodiol,Bile acid receptor FXR agonist,CHEMBL2047,Bile acid receptor FXR,Q96RI1,Bile acid receptor,Homo sapiens,transcription factor  nuclear receptor  nr1  nr1h  nr1h4,10133
ursodiol,Bile acid receptor FXR agonist,CHEMBL2047,Bile acid receptor FXR,Q96RI1,Bile acid receptor,Homo sapiens,transcription factor  nuclear receptor  nr1  nr1h  nr1h4,31401
cholestyramine,Bile acids chelating agent,CHEMBL2364175,Bile acids,NA,NA,Homo sapiens,NA,70695641
colesevelam hydrochloride,Bile acids chelating agent,CHEMBL2364175,Bile acids,NA,NA,Homo sapiens,NA,60208760
colestipol hydrochloride,Bile acids chelating agent,CHEMBL2364175,Bile acids,NA,NA,Homo sapiens,NA,NA
albumin human,Bilirubin chelating agent,CHEMBL2364174,Bilirubin,NA,NA,Homo sapiens,NA,NA
icatibant,Bradykinin B2 receptor antagonist,CHEMBL3157,Bradykinin B2 receptor,P30411,B2 bradykinin receptor,Homo sapiens,membrane receptor  7tm1  peptide  short peptide  bradykinin receptor,14724482
ponatinib,Breakpoint cluster region protein  inhibitor,CHEMBL5146,Breakpoint cluster region protein,P11274,Breakpoint cluster region protein,Homo sapiens,cytosolic other,24826799
ponatinib,Breakpoint cluster region protein  inhibitor,CHEMBL5146,Breakpoint cluster region protein,P11274,Breakpoint cluster region protein,Homo sapiens,enzyme  kinase  protein kinase  atypical  bcr,24826799
maraviroc,C-C chemokine receptor type 5 antagonist,CHEMBL274,C-C chemokine receptor type 5,P51681,C-C chemokine receptor type 5,Homo sapiens,membrane receptor  7tm1  peptide  chemokine receptor  cc chemokine receptor,3002977
plerixafor,C-X-C chemokine receptor type 4 partial agonist,CHEMBL2107,C-X-C chemokine receptor type 4,P61073,C-X-C chemokine receptor type 4,Homo sapiens,membrane receptor  7tm1  peptide  chemokine receptor  cxc chemokine receptor,65015
bacitracin,C55-isoprenyl pyrophosphate inhibitor,CHEMBL2364036,C55-isoprenyl pyrophosphate,NA,NA,Bacteria,NA,NA
calcitonin human,Calcitonin receptor agonist,CHEMBL1832,Calcitonin receptor,P30988,Calcitonin receptor,Homo sapiens,membrane receptor  7tm2  peptide  calcitonin-like  calcitonin receptor,45055432
calcitonin salmon,Calcitonin receptor agonist,CHEMBL1832,Calcitonin receptor,P30988,Calcitonin receptor,Homo sapiens,membrane receptor  7tm2  peptide  calcitonin-like  calcitonin receptor,16133812
calcitonin salmon recombinant,Calcitonin receptor agonist,CHEMBL1832,Calcitonin receptor,P30988,Calcitonin receptor,Homo sapiens,membrane receptor  7tm2  peptide  calcitonin-like  calcitonin receptor,NA
edetate disodium,Calcium chelating agent,CHEMBL2364030,Calcium,NA,NA,null,NA,44120005
ethanolamine oleate,Calcium chelating agent,CHEMBL2364030,Calcium,NA,NA,null,NA,5282489
cinacalcet,Calcium sensing receptor positive allosteric modulator,CHEMBL1878,Calcium sensing receptor,P41180,Extracellular calcium-sensing receptor,Homo sapiens,membrane receptor  7tm3  ion  calcium sensing receptor  calcium sensing receptor,156419
alemtuzumab,CAMPATH-1 antigen inhibitor,CHEMBL1912,CAMPATH-1 antigen,P31358,CAMPATH-1 antigen,Homo sapiens,surface antigen,NA
dronabinol,Cannabinoid CB1 receptor agonist,CHEMBL218,Cannabinoid CB1 receptor,P21554,Cannabinoid receptor 1,Homo sapiens,membrane receptor  7tm1  smallmol  lipid-like ligand receptor  cannabinoid receptor,16078
nabilone,Cannabinoid CB1 receptor agonist,CHEMBL218,Cannabinoid CB1 receptor,P21554,Cannabinoid receptor 1,Homo sapiens,membrane receptor  7tm1  smallmol  lipid-like ligand receptor  cannabinoid receptor,5284592
carglumic acid,"Carbamoyl-phosphate synthase [ammonia], mitochondrial positive allosteric modulator",CHEMBL2362990,"Carbamoyl-phosphate synthase [ammonia], mitochondrial",P31327,"Carbamoyl-phosphate synthase [ammonia], mitochondrial",Homo sapiens,enzyme  ligase,121396
acetazolamide,Carbonic anhydrase I inhibitor,CHEMBL261,Carbonic anhydrase I,P00915,Carbonic anhydrase 1,Homo sapiens,enzyme  lyase,1986
dichlorphenamide,Carbonic anhydrase I inhibitor,CHEMBL261,Carbonic anhydrase I,P00915,Carbonic anhydrase 1,Homo sapiens,enzyme  lyase,3038
methazolamide,Carbonic anhydrase I inhibitor,CHEMBL261,Carbonic anhydrase I,P00915,Carbonic anhydrase 1,Homo sapiens,enzyme  lyase,4100
methocarbamol,Carbonic anhydrase I inhibitor,CHEMBL261,Carbonic anhydrase I,P00915,Carbonic anhydrase 1,Homo sapiens,enzyme  lyase,4107
acetazolamide,Carbonic anhydrase II inhibitor,CHEMBL205,Carbonic anhydrase II,P00918,Carbonic anhydrase 2,Homo sapiens,enzyme  lyase,1986
